Application,Launcher,Path,Icon Name
G3DViewer,g3dviewer,/usr/share/g3dviewer/glade/g3d48.png,g3d48
Gallery Uploader,gallery-uploader,gallery.svg,gallery
Gambas 3,gambas3,gambas3.png,gambas3
Gambit Chess,gambitchess,/usr/share/pixmaps/gambitchess.svg,gambitchess
GanttProject,ganttproject,/opt/ganttproject/plugins/net.sourceforge.ganttproject/data/resources/logos/icon64.png,ganttproject
gap4,gap4,/usr/share/staden/icon4bl.svg,icon4bl
gap5,gap5,/usr/share/staden/icon4bl.svg,icon4bl
Garden of Coloured Lights,garden,/usr/share/pixmaps/garden.svg,garden
Garry's Mod,Garry's Mod,steam,steam_icon_4000
GaussSum,gausssum,/usr/share/pixmaps/gausssum.xpm,gausssum
GbgOffice,gbgoffice,/usr/share/pixmaps/gbgoffice-icon.png,gbgoffice-icon
gCAD3D,gCAD3D,/usr/share/gcad3d/icons/gCAD3D.xpm,gcad3d
Gcolor2,gcolor2,/usr/share/pixmaps/gcolor2/gcolor2.xpm,gcolor2
Gcolor2,gcolor2,/usr/share/pixmaps/gcolor2/icon.png,gcolor2
GDebi,gdebi,gnome-mime-application-x-deb,gdebi
GDebi Package Installer,gdebi,gnome-mime-application-x-deb,gdebi
Gdiskdump,gdiskdump,/usr/share/gdiskdump/data/media/gdiskdump.svg,gdiskdump
GdMap,gdmap,gdmap_icon.png,gdmap_icon
gEcrit,gecrit,/usr/share/pixmaps/gEcrit.png,gEcrit
GeMan X BBS Client,gemanx,/usr/share/pixmaps/gemanx.png,gemanx
Gens GS,gens,/usr/share/gens/gensgs_48x48.png,gensgs
Gens GS,gens,/usr/share/gens/gensgs_32x32.png,gensgs
Gens GS,gens,/usr/share/gens/gens_small.png,gensgs
Gentoo,gentoo,/usr/share/pixmaps/icon_gentoo_small.xpm,distributor-logo-gentoo
Genymotion,genymobile-genymotion,/opt/genymotion/genymotion/icons/icon.png,genymotion
Geomview,geomview,/usr/share/pixmaps/geomview.xpm,geomview
GeSpeaker,gespeaker,/usr/share/gespeaker/data/icons/gespeaker.svg,gespeaker
gExtractWinIcons,gextractwinicons,/usr/share/gextractwinicons/data/gextractwinicons.svg,gextractwinicons
GFM,gfm,/usr/share/gfm/pixmaps/gfm.xpm,gfm
gFTP,gftp,gftp.png,gftp
Ghextris,ghextris,/usr/share/games/ghextris/ghextris.png,ghextris
Gip IP Address Calculator,gip,/usr/share/gip/calculator.png,calculator
Gis Weather,gis-weather,/usr/share/gis-weather/icon.png,gis-weather
Git Cola,git-cola-folder-handler,/usr/share/git-cola/icons/git.svg,git
Git DAG,git-dag,/usr/share/git-cola/icons/git.svg,git
git-cola,git-cola,/usr/share/git-cola/icons/git.svg,git-cola
Gitkraken,gitkraken,app,gitkraken
Gitso,gitso,/usr/share/gitso/icon.ico,gitso
Gitter,gitter,/opt/Gitter/linux64/logo.png,Gitter
GkDebconf,gkdebconf,/usr/share/pixmaps/gkdebconf-icon.xpm,gkdebconf-icon
gLabels,glabels-3.0,glabels-3.0.png,glabels-3.0
glfer,glfer,,glfer
GLPeces,glpeces,/usr/share/pixmaps/glpeces.xpm,glpeces
Glurp,glurp,glurp.svg,glurp
